year,width
2023,50.0
2024,49.6
2025,49.2
2026,48.8
2027,48.4
2028,48.0
2029,47.6
2030,47.2
2031,46.8
2032,46.4
2033,46.0
2034,45.6
2035,45.2
2036,44.8
2037,44.4
2038,44.0
2039,43.6
2040,43.2
2041,42.8
2042,42.4
2043,42.0
2044,41.6
2045,41.2
2046,40.8
2047,40.4
2048,40.0
2049,39.6
2050,39.2
2051,38.8
2052,38.4
2053,38.0
2054,37.6
2055,37.2
2056,36.8
2057,36.4
2058,36.0
2059,35.6
2060,35.2
2061,34.8
2062,34.4
2063,34.0
2064,33.599999999999994
2065,33.2
2066,32.8
2067,32.4
2068,32.0
2069,31.599999999999998
2070,31.2
2071,30.799999999999997
2072,30.4
2073,30.0
2074,29.599999999999998
2075,29.2
2076,28.799999999999997
2077,28.4
2078,28.0
2079,27.599999999999998
2080,27.2
2081,26.799999999999997
2082,26.4
2083,26.0
2084,25.599999999999998
2085,25.2
2086,24.799999999999997
2087,24.4
2088,24.0
2089,23.599999999999998
2090,23.2
2091,22.799999999999997
2092,22.4
2093,22.0
2094,21.599999999999998
2095,21.2
2096,20.799999999999997
2097,20.4
2098,20.0
2099,19.599999999999998
2100,19.2
