year,width
2023,35.0
2024,33.8
2025,32.6
2026,31.4
2027,30.2
2028,29.0
2029,27.8
2030,26.6
2031,25.4
2032,24.200000000000003
2033,23.0
2034,21.8
2035,20.6
2036,19.4
2037,18.2
2038,17.0
2039,15.8
2040,14.600000000000001
2041,13.400000000000002
2042,12.2
2043,11.0
2044,9.8
2045,8.600000000000001
2046,7.400000000000002
2047,6.200000000000003
2048,5.0
2049,3.8000000000000007
2050,2.6000000000000014
2051,1.3999999999999986
2052,0.20000000000000284
2053,0.0
2054,0.0
2055,0.0
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,0.0
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,0.0
2071,0.0
2072,0.0
2073,0.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
