year,width
2023,40.0
2024,39.3
2025,38.6
2026,37.9
2027,37.2
2028,36.5
2029,35.8
2030,35.1
2031,34.4
2032,33.7
2033,33.0
2034,32.3
2035,31.6
2036,30.9
2037,30.200000000000003
2038,29.5
2039,28.8
2040,28.1
2041,27.4
2042,26.700000000000003
2043,26.0
2044,25.3
2045,24.6
2046,23.900000000000002
2047,23.200000000000003
2048,22.5
2049,21.8
2050,21.1
2051,20.400000000000002
2052,19.700000000000003
2053,19.0
2054,18.3
2055,17.6
2056,16.900000000000002
2057,16.200000000000003
2058,15.5
2059,14.8
2060,14.100000000000001
2061,13.400000000000002
2062,12.700000000000003
2063,12.0
2064,11.3
2065,10.600000000000001
2066,9.900000000000002
2067,9.200000000000003
2068,8.500000000000004
2069,7.800000000000004
2070,7.100000000000001
2071,6.400000000000006
2072,5.700000000000003
2073,5.0
2074,4.300000000000004
2075,3.6000000000000014
2076,2.9000000000000057
2077,2.200000000000003
2078,1.5
2079,0.8000000000000043
2080,0.10000000000000142
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.0
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.0
2092,0.0
2093,0.0
2094,0.0
2095,0.0
2096,0.0
2097,0.0
2098,0.0
2099,0.0
2100,0.0
